locusId	sysName	desc	comb	setATCH264 M9
HER17_RS12160	HER17_RS12160	citrate lyase holo-[acyl-carrier protein] synthase	HER17_RS12160 citrate lyase holo-[acyl-carrier protein] synthase	-0.41006784750958
HER17_RS12165	HER17_RS12165	citrate lyase subunit alpha	HER17_RS12165 citrate lyase subunit alpha	-0.0375655629022222
HER17_RS12170	HER17_RS12170	citrate (pro-3S)-lyase subunit beta	HER17_RS12170 citrate (pro-3S)-lyase subunit beta	0.176440983157867
HER17_RS12180	HER17_RS12180	[citrate (pro-3S)-lyase] ligase	HER17_RS12180 [citrate (pro-3S)-lyase] ligase	0.112630494379874
HER17_RS12185	HER17_RS12185	fumarylacetoacetate hydrolase family protein	HER17_RS12185 fumarylacetoacetate hydrolase family protein	-0.121049909482912
HER17_RS12190	HER17_RS12190	2-hydroxycarboxylate transporter family protein	HER17_RS12190 2-hydroxycarboxylate transporter family protein	-0.0593719295292727
HER17_RS12195	HER17_RS12195	sensor histidine kinase	HER17_RS12195 sensor histidine kinase	-0.139351131088442
HER17_RS12200	HER17_RS12200	response regulator	HER17_RS12200 response regulator	0.174713467562112
HER17_RS12205	HER17_RS12205	methyl-accepting chemotaxis protein	HER17_RS12205 methyl-accepting chemotaxis protein	-0.0458771896742356
HER17_RS12210	HER17_RS12210	HAMP domain-containing protein	HER17_RS12210 HAMP domain-containing protein	0.214133723868307
HER17_RS12215	HER17_RS12215	SDR family oxidoreductase	HER17_RS12215 SDR family oxidoreductase	-0.0370189545013797
HER17_RS12225	HER17_RS12225	ATP phosphoribosyltransferase	HER17_RS12225 ATP phosphoribosyltransferase	-0.424486568323341
HER17_RS12230	HER17_RS12230	histidinol dehydrogenase	HER17_RS12230 histidinol dehydrogenase	-0.125193997375636
HER17_RS12235	HER17_RS12235	histidinol-phosphate transaminase	HER17_RS12235 histidinol-phosphate transaminase	-0.303334112805562
HER17_RS12240	HER17_RS12240	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	HER17_RS12240 bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	-0.482909316929449
HER17_RS12245	HER17_RS12245	imidazole glycerol phosphate synthase subunit HisH	HER17_RS12245 imidazole glycerol phosphate synthase subunit HisH	-0.544869283088563
HER17_RS12250	HER17_RS12250	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	HER17_RS12250 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	0.191935844297776
HER17_RS12255	HER17_RS12255	imidazole glycerol phosphate synthase subunit HisF	HER17_RS12255 imidazole glycerol phosphate synthase subunit HisF	-0.771357439598197
